,date,cdb5y,cdb10y,loan5y,basis5y,basis10y,cdb5y_ma30,cdb10y_ma30,basis5y_ma30,basis10y_ma30,cdb5y_ma90,cdb10y_ma90,basis5y_ma90,basis10y_ma90,cdb5y_ma180,cdb10y_ma180,basis5y_ma180,basis10y_ma180,cdb5y_ma360,cdb10y_ma360,basis5y_ma360,basis10y_ma360,cdb5y_ma1800,cdb10y_ma1800,basis5y_ma1800,basis10y_ma1800
0,2002-01-01,3.08,3.6348,6.21,3.13,2.5752,,,,,,,,,,,,,,,,,,,,
1,2002-01-02,3.08,3.6348,6.21,3.13,2.5752,,,,,,,,,,,,,,,,,,,,
2,2002-01-03,3.08,3.6348,6.21,3.13,2.5752,,,,,,,,,,,,,,,,,,,,
3,2002-01-04,3.08,3.6348,6.21,3.13,2.5752,,,,,,,,,,,,,,,,,,,,
4,2002-01-05,3.08,3.6348,6.21,3.13,2.5752,,,,,,,,,,,,,,,,,,,,
5,2002-01-06,3.08,3.6348,6.21,3.13,2.5752,,,,,,,,,,,,,,,,,,,,
6,2002-01-07,3.1385,3.6906,6.21,3.0715,2.5194,,,,,,,,,,,,,,,,,,,,
7,2002-01-08,3.1161,3.7607,6.21,3.0939,2.4493,,,,,,,,,,,,,,,,,,,,
8,2002-01-09,3.128,3.7644,6.21,3.082,2.4455999999999998,,,,,,,,,,,,,,,,,,,,
9,2002-01-10,3.1331,3.7702,6.21,3.0768999999999997,2.4398,,,,,,,,,,,,,,,,,,,,
10,2002-01-11,3.1295,3.7268,6.21,3.0805,2.4832,,,,,,,,,,,,,,,,,,,,
11,2002-01-12,3.1295,3.7268,6.21,3.0805,2.4832,,,,,,,,,,,,,,,,,,,,
12,2002-01-13,3.1295,3.7268,6.21,3.0805,2.4832,,,,,,,,,,,,,,,,,,,,
13,2002-01-14,3.1242,3.7182,6.21,3.0858,2.4918,,,,,,,,,,,,,,,,,,,,
14,2002-01-15,3.1247,3.7177,6.21,3.0853,2.4923,,,,,,,,,,,,,,,,,,,,
15,2002-01-16,3.1147,3.6878,6.21,3.0953,2.5221999999999998,,,,,,,,,,,,,,,,,,,,
16,2002-01-17,3.1485,3.7352,6.21,3.0615,2.4748,,,,,,,,,,,,,,,,,,,,
17,2002-01-18,3.0781,3.6746,6.21,3.1319,2.5354,,,,,,,,,,,,,,,,,,,,
18,2002-01-19,3.0781,3.6746,6.21,3.1319,2.5354,,,,,,,,,,,,,,,,,,,,
19,2002-01-20,3.0781,3.6746,6.21,3.1319,2.5354,,,,,,,,,,,,,,,,,,,,
20,2002-01-21,3.0678,3.6517,6.21,3.1422,2.5583,,,,,,,,,,,,,,,,,,,,
21,2002-01-22,3.066,3.6342,6.21,3.144,2.5758,,,,,,,,,,,,,,,,,,,,
22,2002-01-23,3.03,3.5586,6.21,3.18,2.6513999999999998,,,,,,,,,,,,,,,,,,,,
